feedbacks,topics
You will fall in love with it in no time .,
Maybe not the cutting edge ( Satellite L455D ) but it is a workhorse .,
Sure it has the one touch keys but that was the best feature of the computer .,"one touch keys, feature"
"I had a USB connect but , i ca n't use it because it is not compatible .",USB connect
I now realize that my $ 900 would have been better spent on a Windows laptop .,Windows
"No waiting to have my claim reviewed by someone in another state ( or more often , another country ) .",
I would recommend it just because of the internet speed probably because thats the only thing i really care about .,internet speed
Easy learning curve .,
"It is so great , I can Hardly ever take my hands off it !",
I got my MacBook Pro because I wanted to do all the stuff I need to do without worrying about the system quitting on me or freezing for a few minutes .,system
Its been a year and am still waiting to see what there going to do about my laptop .,
"If you buy , pray you dont have major prolems .",
Worth the investment and truly a fine piece of equipment .,
"It 's fun to take to a bookstore , sit in the coffee shop area , sign in to WiFi and look up book reviews of books I might buy .",
I think that if it is the motherboard again so soon that they should replace it .,motherboard
I own other Macs but always find myself navigation to the MacBook Pro to get my work done .,
the battery is irreplaceable .,battery
"Three , the mac book has advantages over pcs ' with linux based os there is very 'few problems with system performance when it comes to a mac .","linux based os, system performance"
I remind myself from time to time to take off my watch when ever I look at the small scratch that it has caused .,
"It 's also very energy efficient , running on a quarter of the power it takes to run a 60 Watt lightbulb .",
"Never any doubt I would get a MacBook , just was n't sure which one .",
I wish the volume could be louder and the mouse didnt break after only a month .,"volume, mouse"
You know what ? I happened to buy a defective blood pressure monitor a week ago at the Bukit Batok Polyclinic NHG Pharmacy a week ago .,
My Macbook was worth ( after 3 years of use ! ) $ 375 .,
"I wiped nearly everything off of it , installed OpenOffice and Firefox , and I am operating an incredibly efficient and useful machine for a great price .","OpenOffice, Firefox, price"
"I love this program , it is superior to windows movie maker .","program, windows movie maker"
Iphoto is great for adding pictures right to facebook and other social networking sites .,Iphoto
I would easly reccomend this laptop to a friend .,
She said Wal Mart rants and raves abouy carring Dell because it 's a big name but they are a piece of garbage .,
I made the right decision .,
"While I mostly use it for email , internet and gaming , I 'm confident all other applications live up to the high standard I 've come to appreciate from Mac laptops .","internet, gaming, applications"
"But , I would recommend this product .",
"Other than that , I would recommend this to someone in need of a cheap laptop with semi - decent gaming capabilities .",gaming
The Internet Explorer was very slow from the very beginning .,Internet Explorer
I especially like the backlit keyboard .,backlit keyboard
I bought it during the recent Comex IT show .,
My kids have to take their PCs in once a year to have them `` de- bugged '' .,
All in all great item highly recommend it .,
